PID_IN,PID_Kp_OUT1,PID_Kid_OUT1,PID_prod1_IN2,PID_int_delayIn_IN1,PID_der_sum1_IN2,PID_der_delay_IN1,PID_der_sum2_IN2,PID_prod1_IN1,PID_prod1_IN2,PID_prod1_OUT1,PID_int_zero_OUT1,PID_int_delayIn_IN1,PID_int_delayIn_OUT1,PID_int_delayIn_IC,PID_int_delta_t_OUT1,PID_int_multDelta_IN1,PID_int_multDelta_IN2,PID_int_multDelta_OUT1,PID_zeroCt_OUT1,PID_int_delayState_IN1,PID_int_delayState_OUT1,PID_int_delayState_IC,PID_int_sumState_IN1,PID_int_sumState_IN2,PID_int_sumState_OUT1,PID_prod2_IN1,PID_prod2_IN2,PID_prod2_OUT1,PID_sum1_IN1,PID_sum1_IN2,PID_sum1_OUT1,PID_der_delta_t_OUT1,PID_der_multIc_IN1,PID_der_multIc_IN2,PID_der_multIc_OUT1,PID_der_neg1_IN1,PID_der_neg1_OUT1,PID_der_sum1_IN1,PID_der_sum1_IN2,PID_der_sum1_OUT1,PID_der_delay_IN1,PID_der_delay_OUT1,PID_der_delay_IC,PID_der_neg2_IN1,PID_der_neg2_OUT1,PID_der_sum2_IN1,PID_der_sum2_IN2,PID_der_sum2_OUT1,PID_der_inv_IN1,PID_der_inv_OUT1,PID_der_mult_IN1,PID_der_mult_IN2,PID_der_mult_OUT1,PID_prod3_IN1,PID_prod3_IN2,PID_prod3_OUT1,PID_sum2_IN1,PID_sum2_IN2,PID_sum2_OUT1,PID_OUT
-0.321953,390,20,-0.321953,-0.321953,-0.321953,-0.321953,-0.321953,390,-0.321953,-125.561672,0,-0.321953,-1.38216,-0.321953,0.1,-1.38216,0.1,-0.138216,0,-0.293865,-0.195395,-0.293865,-0.138216,-0.195395,-0.333611,-0.333611,20,-6.672218,-125.561672,-6.672218,-132.23389,0.1,0,0.1,0,0,0,0,-0.321953,-0.321953,-0.321953,-1.38216,-0.321953,-1.38216,1.38216,1.38216,-0.321953,1.060207,0.1,10,1.060207,10,10.602074,20,10.602074,212.041471,-132.23389,212.041471,79.807581,79.807581
0.982394,390,20,0.982394,0.982394,0.982394,0.982394,0.982394,390,0.982394,383.13358,0,0.982394,-0.321953,0.982394,0.1,-0.321953,0.1,-0.032195,0,-0.333611,-0.293865,-0.333611,-0.032195,-0.293865,-0.32606,-0.32606,20,-6.521196,383.13358,-6.521196,376.612384,0.1,0,0.1,0,0,0,0,0.982394,0.982394,0.982394,-0.321953,0.982394,-0.321953,0.321953,0.321953,0.982394,1.304347,0.1,10,1.304347,10,13.043468,20,13.043468,260.86936,376.612384,260.86936,637.481744,637.481744
2.422427,390,20,2.422427,2.422427,2.422427,2.422427,2.422427,390,2.422427,944.746656,0,2.422427,0.982394,2.422427,0.1,0.982394,0.1,0.098239,0,-0.32606,-0.333611,-0.32606,0.098239,-0.333611,-0.235372,-0.235372,20,-4.70743,944.746656,-4.70743,940.039226,0.1,0,0.1,0,0,0,0,2.422427,2.422427,2.422427,0.982394,2.422427,0.982394,-0.982394,-0.982394,2.422427,1.440034,0.1,10,1.440034,10,14.400335,20,14.400335,288.006706,940.039226,288.006706,1228.045932,1228.045932
3.854289,390,20,3.854289,3.854289,3.854289,3.854289,3.854289,390,3.854289,1503.172885,0,3.854289,2.422427,3.854289,0.1,2.422427,0.1,0.242243,0,-0.235372,-0.32606,-0.235372,0.242243,-0.32606,-0.083817,-0.083817,20,-1.676342,1503.172885,-1.676342,1501.496544,0.1,0,0.1,0,0,0,0,3.854289,3.854289,3.854289,2.422427,3.854289,2.422427,-2.422427,-2.422427,3.854289,1.431862,0.1,10,1.431862,10,14.318621,20,14.318621,286.372425,1501.496544,286.372425,1787.868969,1787.868969
5.109096,390,20,5.109096,5.109096,5.109096,5.109096,5.109096,390,5.109096,1992.547337,0,5.109096,3.854289,5.109096,0.1,3.854289,0.1,0.385429,0,-0.083817,-0.235372,-0.083817,0.385429,-0.235372,0.150057,0.150057,20,3.001149,1992.547337,3.001149,1995.548486,0.1,0,0.1,0,0,0,0,5.109096,5.109096,5.109096,3.854289,5.109096,3.854289,-3.854289,-3.854289,5.109096,1.254806,0.1,10,1.254806,10,12.548063,20,12.548063,250.961257,1995.548486,250.961257,2246.509743,2246.509743
6.008012,390,20,6.008012,6.008012,6.008012,6.008012,6.008012,390,6.008012,2343.124694,0,6.008012,5.109096,6.008012,0.1,5.109096,0.1,0.51091,0,0.150057,-0.083817,0.150057,0.51091,-0.083817,0.427092,0.427092,20,8.54185,2343.124694,8.54185,2351.666544,0.1,0,0.1,0,0,0,0,6.008012,6.008012,6.008012,5.109096,6.008012,5.109096,-5.109096,-5.109096,6.008012,0.898916,0.1,10,0.898916,10,8.989163,20,8.989163,179.78326,2351.666544,179.78326,2531.449804,2531.449804
6.381516,390,20,6.381516,6.381516,6.381516,6.381516,6.381516,390,6.381516,2488.791101,0,6.381516,6.008012,6.381516,0.1,6.008012,0.1,0.600801,0,0.427092,0.150057,0.427092,0.600801,0.150057,0.750859,0.750859,20,15.017173,2488.791101,15.017173,2503.808273,0.1,0,0.1,0,0,0,0,6.381516,6.381516,6.381516,6.008012,6.381516,6.008012,-6.008012,-6.008012,6.381516,0.373504,0.1,10,0.373504,10,3.735036,20,3.735036,74.700721,2503.808273,74.700721,2578.508995,2578.508995
6.09366,390,20,6.09366,6.09366,6.09366,6.09366,6.09366,390,6.09366,2376.527584,0,6.09366,6.381516,6.09366,0.1,6.381516,0.1,0.638152,0,0.750859,0.427092,0.750859,0.638152,0.427092,1.065244,1.065244,20,21.304881,2376.527584,21.304881,2397.832465,0.1,0,0.1,0,0,0,0,6.09366,6.09366,6.09366,6.381516,6.09366,6.381516,-6.381516,-6.381516,6.09366,-0.287855,0.1,10,-0.287855,10,-2.878552,20,-2.878552,-57.571034,2397.832465,-57.571034,2340.261431,2340.261431
5.058196,390,20,5.058196,5.058196,5.058196,5.058196,5.058196,390,5.058196,1972.696581,0,5.058196,6.09366,5.058196,0.1,6.09366,0.1,0.609366,0,1.065244,0.750859,1.065244,0.609366,0.750859,1.360225,1.360225,20,27.204494,1972.696581,27.204494,1999.901074,0.1,0,0.1,0,0,0,0,5.058196,5.058196,5.058196,6.09366,5.058196,6.09366,-6.09366,-6.09366,5.058196,-1.035464,0.1,10,-1.035464,10,-10.354641,20,-10.354641,-207.092822,1999.901074,-207.092822,1792.808252,1792.808252
3.26097,390,20,3.26097,3.26097,3.26097,3.26097,3.26097,390,3.26097,1271.778199,0,3.26097,5.058196,3.26097,0.1,5.058196,0.1,0.50582,0,1.360225,1.065244,1.360225,0.50582,1.065244,1.571064,1.571064,20,31.421274,1271.778199,31.421274,1303.199473,0.1,0,0.1,0,0,0,0,3.26097,3.26097,3.26097,5.058196,3.26097,5.058196,-5.058196,-5.058196,3.26097,-1.797227,0.1,10,-1.797227,10,-17.972266,20,-17.972266,-359.445324,1303.199473,-359.445324,943.754149,943.754149
