,time,lead_car.y,plant_car.y,PID.et,PID.ut,PID.etInt.y,PID.det.y,PID.P.y,PID.I.y,PID.D.y
218,21.6,469.0399942422688,459.0959843027906,-0.05599006052182176,22.24928517801485,37.102054641770785,6.983354139754551,-21.836123603510487,37.102054641770785,6.983354139754551
219,21.7,472.6662438878827,462.6950516401459,-0.0288077522632193,30.118694581084192,37.019511849078384,4.3342061146613355,-11.235023382655527,37.019511849078384,4.3342061146613355
220,21.8,476.2849935334967,466.3010157242088,-0.016022190712135398,32.07946736014239,36.97718588546425,1.350935852410945,-6.248654377732805,36.97718588546425,1.350935852410945
221,21.9,479.8962431791106,469.9144704134048,-0.018227234294158734,28.22897664859247,36.94539007301412,-1.607792049699741,-7.108621374721906,36.94539007301412,-1.607792049699741
222,22.0,483.4999928247246,473.53426647074104,-0.03427364601645877,19.32262447580706,36.89501518168208,-4.205668759456104,-13.36672194641892,36.89501518168208,-4.205668759456104
223,22.1,487.09624247033855,477.15773778190476,-0.06149531156620469,6.651736796563441,36.80081984582748,-6.165911538444215,-23.98317151081983,36.80081984582748,-6.165911538444215
224,22.2,490.68499211595247,480.7810883860967,-0.09609627014424404,-8.133057489486326,36.644100077988405,-7.299612211219553,-37.47754535625518,36.644100077988405,-7.299612211219553
225,22.3,494.26624176156656,484.39988737252924,-0.1336456109626738,-23.22983003266074,36.414467022037186,-7.522508779255144,-52.12178827544278,36.414467022037186,-7.522508779255144
226,22.4,497.8399914071804,488.00960926742596,-0.16961786024558023,-36.899283885414604,36.1105786304663,-6.8588970201046155,-66.15096549577629,36.1105786304663,-6.8588970201046155
227,22.5,501.40624105279437,491.6061557462972,-0.19991469350281932,-47.6598691852181,35.73979881187083,-5.43293753098939,-77.96673046609953,35.73979881187083,-5.43293753098939
228,22.6,504.9649906984084,495.18630014202864,-0.2213094436202141,-54.44283971574869,35.31688143140662,-3.449038135271809,-86.3106830118835,35.31688143140662,-3.449038135271809
229,22.7,508.51624034402226,498.74800822063844,-0.23176787661617482,-56.69173611556906,34.86188254258894,-1.1641467778498171,-90.38947188030818,34.86188254258894,-1.1641467778498171
230,22.8,512.0599899896363,502.2906053622832,-0.23061537264692333,-54.39797277247329,34.39758124894622,1.144441310880595,-89.9399953323001,34.39758124894622,1.144441310880595
231,22.9,515.5962396352502,505.81477944081695,-0.21853980556676333,-48.071950283204586,33.94673035734935,3.21184353048376,-85.2305241710377,33.94673035734935,3.21184353048376
