,Kp,Ki,Kd,RMSE,Collided
67,210,4,8,0.33238807906743056,False
68,210,4,9,0.3245193468992851,False
69,210,4,10,0.3179996138430827,False
70,210,4,11,0.31249661915420357,False
71,210,4,12,0.3077812697092417,False
72,210,4,13,0.30369519488997254,False
73,210,4,14,0.30036604102857656,False
74,210,4,15,0.2975597400750446,False
75,210,4,16,0.2948421658257851,False
76,210,4,17,0.29240654694188445,False
77,210,4,18,0.29021158741741193,False
78,210,4,19,0.2882288386578567,False
79,210,4,20,0.2864237116936905,False
80,210,5,1,0.7125297581349787,False
81,210,5,2,0.5244209804608194,False
82,210,5,3,0.4409515743994931,False
83,210,5,4,0.39870718060676846,False
84,210,5,5,0.3722983823296007,False
85,210,5,6,0.3544119234033208,False
86,210,5,7,0.34128201575621764,False
87,210,5,8,0.33112389349763865,False
88,210,5,9,0.32293585385644175,False
89,210,5,10,0.31618059728702136,False
90,210,5,11,0.31049475072035454,False
91,210,5,12,0.30562046013752575,False
92,210,5,13,0.30141407608538207,False
93,210,5,14,0.29811757267120254,False
