"time","lead_car.y","Plant.y","et.y","PID.ut"
63.23,1648.021537319729,1638.275021459138,-0.2534841394090108,-92.46120283647791
63.24,1648.241399819649,1638.490344545745,-0.2489447260959423,-90.79214951309739
63.25,1648.46093731957,1638.705375808652,-0.2444384890820857,-89.14530815942194
63.26,1648.680149819491,1638.920120240461,-0.2399704209701667,-87.52250399674423
63.27,1648.899037319411,1639.134582760907,-0.235545441496015,-85.92552366397244
63.28,1649.117599819332,1639.348768211442,-0.2311683921097938,-84.35611331580115
63.29,1649.335837319252,1639.56268134994,-0.2268440306875164,-82.81597678365597
63.3,1649.553749819173,1639.776326845466,-0.2225770262930382,-81.30677376063036
63.31,1649.771337319094,1639.98970927338,-0.2183719542858853,-79.83011814848167
63.32,1649.988599819014,1640.202833110401,-0.2142332913867904,-78.38757637792276
63.33,1650.205537318935,1640.415702729808,-0.2101654108737421,-76.98066579704751
63.34,1650.422149818855,1640.628322396903,-0.2061725780476991,-75.6108531783733
63.35,1650.638437318776,1640.840696264592,-0.2022589458158564,-74.27955327643132
63.36,1650.854399818696,1641.052828369101,-0.1984285504049694,-72.98812744242342
63.37,1651.070037318617,1641.264722625733,-0.1946853071165151,-71.73788225713571
63.38,1651.285349818538,1641.476382825085,-0.191033006547741,-70.53006837200738
63.39,1651.500337318458,1641.687812629205,-0.1874753107474589,-69.36587931365948
63.4,1651.714999818379,1641.899015567936,-0.1840157495578296,-68.24645037069931
63.41,1651.929337318299,1642.109995035476,-0.1806577171764729,-67.1728575817026
63.42,1652.14334981822,1642.320754287214,-0.1774044689943821,-66.14611682757965
63.43,1652.35703731814,1642.531296436626,-0.1742591184856792,-65.16718295090688
63.44,1652.570399818061,1642.741624452263,-0.1712246342019625,-64.23694892159523
63.45,1652.783437317981,1642.951741155202,-0.1683038372202645,-63.35624518376391
63.46,1652.996149817902,1643.161649216503,-0.1654993986012414,-62.52583901926356
63.47,1653.208537317822,1643.371351154877,-0.1628138370545003,-61.74643397739808
63.48,1653.420599817743,1643.580849334442,-0.1602495166989684,-61.01866935931898
63.49,1653.632337317664,1643.790145962993,-0.1578086453291689,-60.34311989766218
63.5,1653.843749817584,1643.999243090183,-0.1554932725985054,-59.72029540839204
63.51,1654.054837317505,1644.208142605888,-0.1533052883835353,-59.15064050559097
63.52,1654.265599817425,1644.416846238966,-0.1512464215406908,-58.63453449297801
63.53,1654.476037317346,1644.625355556121,-0.1493182387744127,-58.17229126794528
63.54,1654.686149817267,1644.833671960952,-0.1475221436858192,-57.76415932805037
63.55,1654.895937317187,1645.041796693052,-0.14585937586412,-57.41032176967786
63.56,1655.105399817108,1645.249730827671,-0.1443310105626097,-57.11089653319846
63.57,1655.314537317028,1645.457475275288,-0.1429379582598358,-56.86593658765329
63.58,1655.523349816949,1645.665030781395,-0.1416809644458681,-56.67543020681042
